model,test_lang,macro_f1,binary_f1,precision,recall,accuracy,auc_roc
Monolingual DE,DE,0.48580697485806973,0.0,0.0,0.0,0.944794952681388,0.2798950632005724
Monolingual EN,EN,0.8690555186905552,0.7575757575757576,0.704225352112676,0.819672131147541,0.963963963963964,0.9762324816143675
Multilingual DE+EN,DE,0.6027111707909714,0.24615384615384617,0.26666666666666666,0.22857142857142856,0.9227129337539433,0.8194610064393035
Multilingual DE+EN,EN,0.7958487865183161,0.624113475177305,0.55,0.7213114754098361,0.9403153153153153,0.9613257478145381
Multilingual DE+EN,RU,0.6894568702958518,0.4388349514563107,0.46502057613168724,0.41544117647058826,0.89171974522293,0.8297872340425531
EN-only → RU (1.3.3a),RU,0.7002123589392584,0.452991452991453,0.5408163265306123,0.3897058823529412,0.9040839265642563,0.8393817946452672
Multi DE+EN → RU (1.3.3b),RU,0.6894568702958518,0.4388349514563107,0.46502057613168724,0.41544117647058826,0.89171974522293,0.8297872340425531
Translated EN→RU (1.3.3c),RU,0.6705949686017215,0.42388059701492536,0.35678391959798994,0.5220588235294118,0.8553765455226676,0.7889718152592702
