Approach,accuracy,macro_f1
Random Forest,0.9333333333333333,0.9333333333333332
DistilBERT (Natural Lang.),0.9,0.899749373433584
DistilBERT (Structured),0.9333333333333333,0.9333333333333332
LLM Few-shot,0.43333333333333335,0.34920634920634913
LLM Augmented,0.3333333333333333,0.16666666666666666
